معرف_الرحلة,معرف_السائق,مؤشر_القيادة_الآمنة,تصنيف_السائق,مدة_الرحلة_دقيقة,متوسط_السرعة,أقصى_سرعة,عدد_الفرملات_الحادة,عدد_التسارعات_الحادة,عدد_تغييرات_المسار,نسبة_السرعة_الزائدة,متوسط_الازدحام,نوع_الطريق,نوع_السائق_الفعلي,وقت_اليوم,الطقس,التوصية
7425f87b,22edc5a6,0.0,خطر,42.0,37.02,52.0,92,27,12,42.82,0.273,حي سكني,معتدل,منتصف النهار,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a8488acf,9373515e,0.0,خطر,40.0,30.62,52.0,97,19,5,21.92,0.177,حي سكني,معتدل,الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7f3c5e29,55565223,0.0,خطر,27.0,61.48,104.0,329,192,15,22.41,0.199,طريق رئيسي,مشتت,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
25260a62,f7cf4849,0.0,خطر,56.0,68.25,78.0,21,0,1,95.36,0.96,شارع داخلي,آمن,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
287df616,46498975,0.0,خطر,10.0,24.36,52.0,92,35,2,14.33,0.103,حي سكني,متهور,منتصف الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
bcfd5180,1a6a1090,0.0,خطر,46.0,50.02,104.0,479,193,31,5.94,0.215,طريق رئيسي,متهور,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c01ab15a,b3b1bdbe,0.0,خطر,14.0,29.72,52.0,154,89,10,31.55,0.703,حي سكني,مشتت,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
507b8cc1,9e851da8,0.0,خطر,52.0,37.65,72.5,129,28,7,2.21,0.953,شارع داخلي,معتدل,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4abc9764,351abf18,0.0,خطر,58.0,22.69,52.0,651,326,40,17.76,0.552,حي سكني,مشتت,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
e56945d5,965a9eb3,0.0,خطر,17.0,21.19,52.0,170,100,8,13.24,0.622,حي سكني,مشتت,ساعة الذروة المسائية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
ee176134,8291d21c,0.0,خطر,13.0,67.01,117.41,140,49,8,0.0,0.117,طريق سريع,متهور,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b3a9b8eb,ce757262,0.0,خطر,55.0,39.85,104.0,698,386,37,3.33,0.915,طريق رئيسي,مشتت,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
bae4ad98,9bb4789a,0.0,خطر,12.0,20.23,49.08,33,6,1,1.94,0.177,حي سكني,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7dab9723,72abb2b2,0.0,خطر,17.0,27.75,52.0,182,86,12,27.84,0.344,حي سكني,مشتت,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0649fa17,6c8b837e,0.0,خطر,40.0,32.05,78.0,471,264,27,7.92,0.961,شارع داخلي,مشتت,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
513cbf32,a480d5b6,0.0,خطر,59.0,51.84,88.56,146,27,6,1.13,0.778,طريق رئيسي,معتدل,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
afe0587e,a070ce78,30.77,خطر,11.0,63.85,78.0,1,0,2,80.76,0.955,شارع داخلي,آمن,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b925fe07,ba8cf0b3,0.0,خطر,16.0,28.87,52.0,33,9,3,15.83,0.114,حي سكني,معتدل,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
88479575,212d48de,94.97,آمن,12.0,27.23,39.45,2,0,1,0.0,0.295,حي سكني,آمن,منتصف النهار,عاصفة رملية,ممتاز! استمر على هذا الأداء
c648d2e1,173c8629,0.0,خطر,17.0,75.99,156.0,217,125,12,4.8,0.365,طريق سريع,مشتت,ساعة الذروة المسائية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b4d8c39e,e4328de7,0.0,خطر,56.0,36.26,78.0,698,402,38,14.29,0.194,شارع داخلي,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
dc639f52,aa2930b0,0.0,خطر,26.0,35.53,78.0,272,95,10,7.69,0.335,شارع داخلي,متهور,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
de8d68a0,dc3f3705,23.07,خطر,52.0,77.74,92.24,16,0,1,36.12,0.828,طريق رئيسي,آمن,ساعة الذروة المسائية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
fdcd23ea,1d4bdc95,73.25,معتدل,13.0,75.19,89.81,3,0,2,19.49,0.357,طريق رئيسي,آمن,منتصف النهار,أمطار غزيرة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
3c8580e7,e98bb8f5,0.0,خطر,59.0,77.07,142.69,621,245,26,1.13,0.076,طريق سريع,متهور,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
5e5f078e,8c754602,0.0,خطر,29.0,59.86,95.54,65,19,6,3.85,0.199,طريق رئيسي,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
e0ce8cc8,59f73e75,0.0,خطر,14.0,42.73,93.08,159,46,11,2.26,0.667,طريق رئيسي,متهور,ساعة الذروة الصباحية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
97d3a808,b2bd8a59,0.0,خطر,42.0,29.27,78.0,438,179,21,5.04,0.21,شارع داخلي,متهور,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
821f8a66,ace43afb,0.0,خطر,41.0,95.38,130.38,100,26,7,1.38,0.203,طريق سريع,معتدل,منتصف النهار,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
6b16f21f,dda70f1a,0.0,خطر,45.0,29.98,78.0,493,171,17,4.48,0.555,شارع داخلي,متهور,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
40c68417,4c289d34,67.53,معتدل,41.0,73.7,88.39,8,0,4,8.74,0.607,طريق رئيسي,آمن,ساعة الذروة الصباحية,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
e3abdfae,f07cadb6,33.05,خطر,5.0,117.9,138.78,2,0,1,70.33,0.291,طريق سريع,آمن,ساعة الذروة الصباحية,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
77c68b26,12106a6c,85.99,آمن,13.0,106.07,120.62,5,0,2,0.26,0.477,طريق سريع,آمن,ساعة الذروة المسائية,عاصفة رملية,ممتاز! استمر على هذا الأداء
b523447c,d78ead4a,0.0,خطر,30.0,39.23,78.0,346,187,22,18.61,0.617,شارع داخلي,مشتت,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
fb4f01cf,aca8ac03,0.0,خطر,18.0,71.62,147.07,219,119,14,1.48,0.407,طريق سريع,مشتت,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
563e3d98,272fae9c,0.0,خطر,9.0,20.15,52.0,88,44,5,9.81,0.344,حي سكني,مشتت,منتصف النهار,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
984585d1,a7e235c1,63.33,معتدل,58.0,63.4,77.94,13,0,4,0.0,0.867,طريق رئيسي,آمن,ساعة الذروة المسائية,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
a076186c,e905464e,0.0,خطر,53.0,23.23,52.0,623,314,42,18.3,0.147,حي سكني,مشتت,الليل,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
dafd7079,d63257fc,0.0,خطر,42.0,52.68,78.0,110,27,12,27.78,0.272,شارع داخلي,معتدل,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
cfaa69a8,4040645d,0.0,خطر,52.0,40.51,78.0,568,212,29,16.7,0.25,شارع داخلي,متهور,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
52643b84,b31c911d,0.0,خطر,37.0,39.54,52.0,92,11,9,54.05,0.163,حي سكني,معتدل,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0daa922b,317b9a81,0.0,خطر,20.0,27.22,73.93,194,77,9,2.08,0.667,شارع داخلي,متهور,منتصف النهار,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
ff02879e,07365aff,98.98,آمن,19.0,65.08,78.38,1,0,0,0.0,0.397,طريق رئيسي,آمن,منتصف النهار,أمطار خفيفة,ممتاز! استمر على هذا الأداء
91480b39,a56a1ff2,0.0,خطر,20.0,91.63,119.28,53,12,5,0.0,0.124,طريق سريع,معتدل,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
6fde19c2,dd3d169b,0.0,خطر,60.0,20.39,52.0,637,224,34,12.89,0.091,حي سكني,متهور,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8dd27a53,7da7475f,0.0,خطر,34.0,21.67,52.0,316,122,13,12.55,0.447,حي سكني,متهور,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
1835de4c,689ec0f5,0.0,خطر,41.0,36.97,104.0,435,168,16,1.06,0.653,طريق رئيسي,متهور,ساعة الذروة المسائية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
eed005d0,6827fb3f,0.0,خطر,54.0,35.2,75.13,145,30,11,1.42,0.951,شارع داخلي,معتدل,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
52779a88,54669461,53.78,معتدل,34.0,114.76,129.42,10,0,1,17.45,0.213,طريق سريع,آمن,منتصف النهار,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
e1000e81,5ee3839c,0.0,خطر,49.0,55.34,104.0,614,336,31,14.18,0.643,طريق رئيسي,مشتت,ساعة الذروة المسائية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
e7bfa8d7,796c508c,0.0,خطر,15.0,18.75,52.0,32,8,4,4.11,0.526,حي سكني,معتدل,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c527ce57,409afb98,0.0,خطر,59.0,38.9,78.0,636,259,25,12.51,0.522,شارع داخلي,متهور,منتصف النهار,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
77f8ad0c,77b8e664,0.0,خطر,40.0,23.31,78.0,444,162,16,2.25,0.272,شارع داخلي,متهور,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a96a4795,afe9c066,0.0,خطر,36.0,48.21,104.0,449,255,22,7.22,0.845,طريق رئيسي,مشتت,ساعة الذروة الصباحية,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
835cda76,c420500b,50.57,معتدل,42.0,66.99,84.38,17,0,1,0.67,0.784,طريق رئيسي,آمن,ساعة الذروة الصباحية,أمطار غزيرة,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
fee735d5,b9d301a0,0.0,خطر,27.0,45.35,104.0,283,112,9,4.63,0.846,طريق رئيسي,متهور,ساعة الذروة المسائية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
df2881b7,8c6068e0,0.0,خطر,45.0,93.96,131.7,132,29,8,1.7,0.107,طريق سريع,معتدل,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
8ce9092c,8fcc5702,0.0,خطر,54.0,42.11,78.0,650,354,42,20.93,0.249,شارع داخلي,مشتت,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
25bd7a8e,129ba9a3,0.0,خطر,35.0,81.29,156.0,458,244,31,5.57,0.224,طريق سريع,مشتت,منتصف النهار,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
b6e96ca8,34af0cbc,56.34,معتدل,60.0,73.67,89.06,11,0,3,8.83,0.125,طريق رئيسي,آمن,منتصف الليل,عاصفة رملية,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
fc50dba8,bb5c56b6,44.77,خطر,53.0,75.39,91.9,12,0,3,18.81,0.177,طريق رئيسي,آمن,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
edd07c73,7f02e26e,25.38,خطر,44.0,79.38,96.9,10,0,7,48.79,0.596,طريق رئيسي,آمن,ساعة الذروة الصباحية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4a1399a4,5619226f,0.0,خطر,22.0,46.9,52.0,7,0,1,96.06,0.177,حي سكني,آمن,الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
af62ac40,e4778e89,0.0,خطر,30.0,46.18,78.0,354,193,16,25.61,0.275,شارع داخلي,مشتت,الليل,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
d2ffaec2,e89c6995,57.59,معتدل,41.0,55.36,74.61,8,0,2,18.29,0.322,شارع داخلي,آمن,الليل,صافي,جيد، لكن يمكن تحسين القيادة بتقليل الفرملة الحادة
f6322c51,8332ea93,0.0,خطر,51.0,41.47,52.0,17,0,7,65.2,0.469,حي سكني,آمن,ساعة الذروة الصباحية,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
835c0913,bda3da73,21.78,خطر,10.0,64.98,78.0,1,0,1,87.83,0.19,شارع داخلي,آمن,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
95196429,b3a27888,0.0,خطر,50.0,30.23,91.27,563,209,36,0.2,0.742,طريق رئيسي,متهور,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
eceacc32,1888f112,0.0,خطر,34.0,31.29,52.0,375,198,20,34.12,0.093,حي سكني,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
125733d8,23c28679,34.43,خطر,39.0,35.73,52.0,16,0,1,18.42,0.253,حي سكني,آمن,منتصف النهار,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
d2eb3663,466d2eeb,0.0,خطر,48.0,49.9,104.0,604,337,42,9.1,0.147,طريق رئيسي,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
821b9c3a,9e583b1c,0.0,خطر,5.0,16.61,64.57,32,16,2,0.33,0.884,شارع داخلي,متهور,ساعة الذروة الصباحية,ضباب,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
bcf77fd5,c6fb3ad2,0.0,خطر,26.0,72.39,122.23,295,117,13,0.06,0.078,طريق سريع,متهور,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
d18e8a5c,3bc00f4e,0.0,خطر,31.0,36.99,99.06,316,124,15,0.48,0.7,طريق رئيسي,متهور,ساعة الذروة الصباحية,صافي,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c979f272,be910f29,0.0,خطر,15.0,38.41,104.0,169,63,9,2.56,0.141,طريق رئيسي,متهور,منتصف الليل,أمطار خفيفة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
7ba27bdd,62c7ff3d,42.6,خطر,56.0,65.37,80.09,19,0,2,0.06,0.136,طريق رئيسي,آمن,منتصف الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
a6afb0b0,5b0f78b9,0.0,خطر,16.0,50.01,101.4,168,56,8,6.15,0.127,طريق رئيسي,متهور,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
c3940e79,64f947e2,0.0,خطر,31.0,77.14,143.44,362,208,24,2.8,0.084,طريق سريع,مشتت,منتصف الليل,أمطار غزيرة,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
0b01bd4e,2873c05e,0.0,خطر,36.0,43.89,78.0,114,32,11,7.41,0.279,شارع داخلي,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
4c5a106e,a1f6bd57,0.0,خطر,46.0,51.16,78.0,127,25,5,22.25,0.325,شارع داخلي,معتدل,الليل,عاصفة رملية,يجب تحسين أسلوب القيادة فوراً - تجنب السرعة الزائدة والفرملة الحادة
